key,es,en,ca,pt,de,gl,eu
ui.title,"La Brújula Algorítmica","The Algorithmic Compass","La Brúixola Algorítmica","A Bússola Algorítmica","Der Algorithmische Kompass","O Compás Algorítmico","Orratz Algoritmikoa"
ui.introText,"¡Te damos la bienvenida a esta expedición digital! En un mar de recomendaciones automáticas, cada persona traza su propia ruta. ¿Te dejas llevar por la corriente o tomas el timón de tus decisiones?","Welcome to this digital expedition! In a sea of automatic recommendations, everyone charts their own course. Do you go with the flow or take the helm of your decisions?","Et donem la benvinguda a aquesta expedició digital! En un mar de recomanacions automàtiques, cada persona traça la seva pròpia ruta. Et deixes portar per la corrent o agafes el timó de les teves decisions?","Boas-vindas a esta expedição digital! Num mar de recomendações automáticas, cada pessoa traça a sua própria rota. Deixa-se levar pela corrente ou assume o leme das suas decisões?","Willkommen zu dieser digitalen Expedition! In einem Meer von automatischen Empfehlungen plant jede Person ihre eigene Route. Lässt du dich treiben oder übernimmst du das Steuer deiner Entscheidungen?","Dámosche a benvida a esta expedición dixital! Nun mar de recomendacións automáticas, cada persoa traza a súa propia ruta. Déixaste levar pola corrente ou tomas o temón das túas decisións?","Ongi etorri espedizio digital honetara! Gomendio automatikoen itsasoan, norberak bere bidea zehazten du. Korronteak eramaten uzten zara ala erabakien gidaritza hartzen duzu?"
ui.startBtn,"Iniciar la aventura","Start the adventure","Iniciar l'aventura","Iniciar a aventura","Abenteuer beginnen","Iniciar a aventura","Hasi abentura"
ui.disclaimer1,"Esta aplicación tiene un carácter lúdico y no es una herramienta metodológicamente contrastada. Se ha desarrollado con el único propósito de mejorar la alfabetización algorítmica de las personas usuarias.","This application has a playful nature and is not a methodologically validated tool. It has been developed with the sole purpose of improving the algorithmic literacy of its users.","Aquesta aplicació té un caràcter lúdic i no és una eina metodològicament contrastada. S'ha desenvolupat amb l'únic propòsit de millorar l'alfabetització algorítmica de les persones usuàries.","Esta aplicação tem um caráter lúdico e não é uma ferramenta metodologicamente contrastada. Foi desenvolvida com o único propósito de melhorar a literacia algorítmica de quem a utiliza.","Diese Anwendung hat einen spielerischen Charakter und ist kein methodisch validiertes Werkzeug. Sie wurde ausschließlich entwickelt, um die algorithmische Alphabetisierung der Nutzer zu verbessern.","Esta aplicación ten un carácter lúdico e non é unha ferramenta metodoloxicamente contrastada. Desenvolveuse co único propósito de mellorar a alfabetización algorítmica das persoas usuarias.","Aplikazio honek jolas-izaera du eta ez da metodologikoki kontrastatutako tresna bat. Erabiltzaileen alfabetatze algoritmikoa hobetzeko helburu bakarrarekin garatu da."
ui.disclaimer2,"Las respuestas facilitadas son totalmente anónimas y ALCOM no almacena ningún dato durante la navegación. Se utiliza GoatCounter para conocer de manera totalmente anónima el volumen de visitas, el tiempo de permanencia y el uso de las funcionalidades (como la descarga de imágenes). No se utilizan cookies de rastreo. El objetivo es exclusivamente analítico y de mejora del proyecto.","The answers provided are completely anonymous and ALCOM does not store any data during navigation. GoatCounter is used to know, in a totally anonymous way, the volume of visits, time spent, and the use of features (such as image downloading). Tracking cookies are not used. The objective is exclusively analytical and for the improvement of the project.","Les respostes facilitades són totalment anònimes i ALCOM no emmagatzema cap dada durant la navegació. S'utilitza GoatCounter per conèixer de manera totalment anònima el volum de visites, el temps de permanència i l'ús de les funcionalitats (com la descàrrega d'imatges). No s'utilitzen cookies de rastreig. L'objectiu és exclusivament analític i de millora del projecte.","As respostas fornecidas são totalmente anónimas e o ALCOM não armazena qualquer dado durante a navegação. Utiliza-se o GoatCounter para conhecer de forma totalmente anónima o volume de visitas, o tempo de permanência e o uso das funcionalidades (como o descarregamento de imagens). Não se utilizam cookies de rastreio. O objetivo é exclusivamente analítico e para a melhoria do projeto.","Die gegebenen Antworten sind völlig anonym und ALCOM speichert während der Navigation keine Daten. GoatCounter wird verwendet, um auf völlig anonyme Weise das Volumen der Besuche, die Verweildauer und die Nutzung von Funktionen (wie z. B. das Herunterladen von Bildern) zu erfassen. Es werden keine Tracking-Cookies verwendet. Das Ziel ist ausschließlich analytisch und zur Verbesserung des Projekts.","As respostas facilitadas son totalmente anónimas e ALCOM non almacena ningún dato durante a navegación. Utilízase GoatCounter para coñecer de xeito totalmente anónimo o volume de visitas, o tempo de permanencia e o uso das funcionalidades (como a descarga de imaxes). Non se utilizan cookies de rastrexo. O obxectivo é exclusivamente analítico e de mellora do proxecto.","Emandako erantzunak guztiz anonimoak dira eta ALCOMek ez du inolako daturik gordetzen nabigazioan zehar. GoatCounter erabiltzen da bisiten bolumena, emandako denbora eta funtzionalitateen erabilera (irudien deskarga, adibidez) modu erabat anonimoan ezagutzeko. Ez da jarraipen-cookierik erabiltzen. Helburua esklusiboki analitikoa eta proiektua hobetzekoa da."
ui.step1,"Paso 1","Step 1","Pas 1","Passo 1","Schritt 1","Paso 1","1. urratsa"
ui.destTitle,"Elige tu destino de exploración","Choose your exploration destination","Tria el teu destí d'exploració","Escolha o seu destino de exploração","Wähle dein Erkundungsziel","Elixe o teu destino de exploración","Aukeratu zure esplorazio-helburua"
ui.destSub,"¿En qué territorio digital vamos a adentrarnos hoy?","Which digital territory are we venturing into today?","En quin territori digital ens endinsarem avui?","Em que território digital nos vamos aventurar hoje?","In welches digitale Gebiet wagen wir uns heute?","En que territorio dixital imos penetrar hoxe?","Zer lurralde digitaletan sartuko gara gaur?"
ui.other,"Otros territorios","Other territories","Altres territoris","Outros territórios","Andere Gebiete","Outros territorios","Beste lurralde batzuk"
ui.unexplored,"Territorio inexplorado","Unexplored territory","Territori inexplorat","Território inexplorado","Unerforschtes Gebiet","Territorio inexplorado","Arakatu gabeko lurraldea"
